distance (nm),number_prob_density
-4.0,0.0
-3.973333333333333,0.0
-3.9466666666666668,0.00034543354567163084
-3.92,0.0009565852033983496
-3.8933333333333335,0.0014614496163030473
-3.8666666666666667,0.0028963274214005904
-3.84,0.006403806500527855
-3.8133333333333335,0.01201045866489052
-3.7866666666666666,0.023117475748793675
-3.76,0.03680195851963099
-3.7333333333333334,0.05930828261069825
-3.7066666666666666,0.10086659533611672
-3.68,0.14237176443912247
-3.6533333333333333,0.1879689924677745
-3.6266666666666665,0.22437237381932815
-3.6,0.24432780403466425
-3.5733333333333333,0.2659306865447417
-3.546666666666667,0.28277721484903723
-3.52,0.2866035556626306
-3.493333333333333,0.29104104813394843
-3.466666666666667,0.29364508563209074
-3.44,0.2977371445577393
-3.413333333333333,0.29765742912412035
-3.3866666666666667,0.29707284927760147
-3.36,0.29893287606198726
-3.333333333333333,0.2994908840973055
-3.3066666666666666,0.29414995004499067
-3.28,0.3003146102446763
-3.2533333333333334,0.2980560062922054
-3.2266666666666666,0.29978317402056126
-3.2,0.2988531606283707
-3.1733333333333333,0.2996503149645361
-3.1466666666666665,0.29935802504127296
-3.12,0.2976308573129173
-3.0933333333333333,0.30132433907048317
-3.0666666666666664,0.30214806521785154
-3.04,0.3007663310351675
-3.013333333333333,0.304911533583227
-2.9866666666666664,0.30767500194860264
-2.96,0.3086050153407903
-2.9333333333333336,0.31418509569394737
-2.9066666666666663,0.3133613695465818
-2.88,0.31987146329192656
-2.8533333333333335,0.3232726551262344
-2.8266666666666667,0.3287995918569805
-2.8,0.33321051251709244
-2.7733333333333334,0.33722285600912716
-2.7466666666666666,0.3428826517959008
-2.7199999999999998,0.3460712691405592
-2.6933333333333334,0.3451678275595746
-2.6666666666666665,0.34314836990795583
-2.6399999999999997,0.3487815938835269
-2.6133333333333333,0.35064162066790683
-2.586666666666667,0.3505619052342901
-2.5599999999999996,0.3554245466849044
-2.533333333333333,0.35135905957045577
-2.506666666666667,0.3455132611052461
-2.48,0.3460181255181508
-2.453333333333333,0.33387480779723056
