distance (nm),number_prob_density
-4.0,0.11469574740891145
-3.973333333333333,0.11652028986613462
-3.9466666666666668,0.12052712820356291
-3.92,0.1148388487781043
-3.8933333333333335,0.1192749912231163
-3.8666666666666667,0.11877413643093765
-3.84,0.12160038847251606
-3.8133333333333335,0.11859525971944528
-3.7866666666666666,0.12220856929159127
-3.76,0.1224232213453809
-3.7333333333333334,0.12295985147985926
-3.7066666666666666,0.12610808160212605
-3.68,0.13090197747012078
-3.6533333333333333,0.1270740158441816
-3.6266666666666665,0.1315817089737928
-3.6,0.13222566513516434
-3.5733333333333333,0.13326315006181874
-3.546666666666667,0.13945228427945638
-3.52,0.13651870621098142
-3.493333333333333,0.14331602124769
-3.466666666666667,0.14546254178560025
-3.44,0.14571296918168958
-3.413333333333333,0.15143702394944378
-3.3866666666666667,0.1597726787049904
-3.36,0.1630997855387486
-3.333333333333333,0.16839453619892408
-3.3066666666666666,0.17086303481751433
-3.28,0.17730259643124446
-3.2533333333333334,0.18631798269045907
-3.2266666666666666,0.18875070596675275
-3.2,0.19604887579564434
-3.1733333333333333,0.20513581273945708
-3.1466666666666665,0.2089995497076894
-3.12,0.21719210309404324
-3.0933333333333333,0.22531310579579716
-3.0666666666666664,0.228640212629552
-3.04,0.2368327660159062
-3.013333333333333,0.24581237693282348
-2.9866666666666664,0.2525381412849384
-2.96,0.25643765359546694
-2.9333333333333336,0.26463020698181966
-2.9066666666666663,0.26810041518477523
-2.88,0.27679382336329916
-2.8533333333333335,0.28480750003816147
-2.8266666666666667,0.2905315548059174
-2.8,0.30290982324118587
-2.7733333333333334,0.30251629447590656
-2.7466666666666666,0.3062727054172465
-2.7199999999999998,0.31299846976935597
-2.6933333333333334,0.3149661135957758
-2.6666666666666665,0.3217276532901876
-2.6399999999999997,0.32612802039290245
-2.6133333333333333,0.3218349793170797
-2.586666666666667,0.3196169080945749
-2.5599999999999996,0.3288827217498851
-2.533333333333333,0.3295266779112522
-2.506666666666667,0.32891849709218074
-2.48,0.32906159846137456
-2.453333333333333,0.32061861767893224
-2.4266666666666667,0.3221569573977688
-2.4,0.3127838177155682
-2.373333333333333,0.3110666012852397
-2.3466666666666667,0.30240896844901033
-2.32,0.296291384915971
-2.293333333333333,0.29743619586952513
-2.2666666666666666,0.28627428907239694
-2.24,0.2820170233388766
-2.213333333333333,0.26924522613832647
-2.1866666666666665,0.2599794124830179
-2.16,0.25325364813090523
-2.1333333333333333,0.24237794407216878
-2.1066666666666665,0.23279015233617711
-2.08,0.22169979622365016
-2.0533333333333332,0.21275596064903135
-2.0266666666666664,0.19604887579564345
-2.0,0.19132653061224475
-1.9733333333333332,0.1856024758444887
-1.9466666666666663,0.16853763756811796
-1.92,0.16513898004975922
-1.893333333333333,0.15193787874162534
-1.8666666666666667,0.14002468975623128
-1.8399999999999999,0.12850502953612122
-1.813333333333333,0.12074178025735473
-1.7866666666666666,0.11555435562407429
-1.7599999999999998,0.1017450734968635
-1.7333333333333334,0.09437535298337707
-1.7066666666666666,0.08657632836230951
-1.6799999999999997,0.07455581335002244
-1.6533333333333333,0.06586240517149247
-1.6266666666666665,0.059601720269259334
-1.5999999999999996,0.04661527101491324
-1.5733333333333333,0.04303773678506542
-1.5466666666666664,0.033915024498954754
-1.52,0.030444816296002233
-1.4933333333333332,0.025006964266633853
-1.4666666666666663,0.023540175232396862
-1.44,0.01910403278738565
-1.413333333333333,0.015633824584433676
-1.3866666666666667,0.013487304046525081
-1.3599999999999999,0.012342493092973875
-1.333333333333333,0.009623567078289832
-1.3066666666666666,0.008872284890021799
-1.2799999999999998,0.006546887640620922
-1.253333333333333,0.004865446552592634
-1.2266666666666666,0.004078389022026142
-1.1999999999999997,0.002862027383878038
-1.1733333333333333,0.002826252041579521
-1.1466666666666665,0.0015741150611328913
-1.1199999999999997,0.0013236876650435927
-1.0933333333333333,0.0005366301344771244
-1.0666666666666664,0.0004293041075816986
-1.0399999999999996,0.00032197808068627927
-1.0133333333333332,0.00032197808068627396
-0.9866666666666664,0.0001431013691939007
-0.96,7.155068459694976e-05
-0.9333333333333331,3.577534229847488e-05
-0.9066666666666663,0.0
-0.8799999999999999,0.0
-0.853333333333333,0.0
-0.8266666666666667,0.0
-0.7999999999999998,0.0
-0.773333333333333,0.0
-0.7466666666666666,0.0
-0.7199999999999998,0.0
-0.6933333333333329,0.0
-0.6666666666666665,0.0
-0.6399999999999997,0.0
-0.6133333333333333,0.0
-0.5866666666666664,0.0
-0.5599999999999996,0.0
-0.5333333333333332,0.0
-0.5066666666666664,0.0
-0.48,0.0
-0.45333333333333314,0.0
-0.4266666666666663,0.0
-0.3999999999999999,0.0
-0.3733333333333331,0.0
-0.34666666666666623,0.0
-0.31999999999999984,0.0
-0.293333333333333,0.0
-0.2666666666666666,0.0
-0.23999999999999977,0.0
-0.21333333333333293,0.0
-0.18666666666666654,0.0
-0.1599999999999997,0.0
-0.1333333333333333,0.0
-0.10666666666666647,0.0
-0.07999999999999963,0.0
-0.05333333333333323,0.0
-0.026666666666666394,0.0
0.0,0.0
0.026666666666667282,0.0
0.05333333333333368,0.0
0.08000000000000007,0.0
0.10666666666666735,0.0
0.13333333333333375,0.0
0.16000000000000014,0.0
0.18666666666666654,0.0
0.21333333333333382,0.0
0.2400000000000002,0.0
0.2666666666666666,0.0
0.2933333333333339,0.0
0.3200000000000003,0.0
0.3466666666666667,0.0
0.37333333333333396,0.0
0.40000000000000036,0.0
0.42666666666666675,0.0
0.45333333333333403,0.0
0.4800000000000004,0.0
0.5066666666666668,0.0
