distance (nm),number_prob_density
-3.99828,0.2717033335854585
-3.83509,0.27191738986058916
-3.67189,0.2710367223480272
-3.5087,0.2709782086949638
-3.3455,0.27281990740815587
-3.18231,0.2820861739480269
-3.01911,0.29476845274015673
-2.85592,0.3057719822326889
-2.69272,0.2931085907589529
-2.52953,0.24174545423572089
-2.36633,0.16283979307971053
-2.20314,0.08227871401741255
-2.03994,0.030929761499954758
-1.87674,0.009400033194848872
-1.71355,0.002048370417170332
-1.55035,0.0004238399425690573
-1.38716,4.590518294884824e-05
-1.22396,1.059682997657534e-05
-1.06077,0.0
-0.897574,0.0
-0.734378,0.0
-0.571183,0.0
-0.407988,0.0
-0.244793,0.0
-0.0815976,0.0
0.0815976,0.0
0.244793,0.0
0.407988,0.0
0.571183,0.0
0.734378,0.0
0.897574,0.0
1.06077,0.0
1.22396,1.059682997657534e-05
1.38716,4.590518294884824e-05
1.55035,0.0004238399425690573
1.71355,0.002048370417170332
1.87674,0.009400033194848872
2.03994,0.030929761499954758
2.20314,0.08227871401741255
2.36633,0.16283979307971053
2.52953,0.24174545423572089
2.69272,0.2931085907589529
2.85592,0.3057719822326889
3.01911,0.29476845274015673
3.18231,0.2820861739480269
3.3455,0.27281990740815587
3.5087,0.2709782086949638
3.67189,0.2710367223480272
3.83509,0.27191738986058916
3.99828,0.2717033335854585
