concentration (mM),order_parameter,err_order_parameter
0.0,0.0,0.0
5.0,-0.0033999999999999985,-0.0
10.0,-0.0058000000000000005,-0.0
20.0,-0.007799999999999994,-0.0
50.0,-0.010699999999999994,-0.0
100.0,-0.015599999999999996,-0.0
200.0,-0.020999999999999998,-0.0
400.0,-0.029699999999999997,-0.0
500.0,-0.033699999999999994,-0.0
600.0,-0.037099999999999994,-0.0
800.0,-0.041499999999999995,-0.0
1000.0,-0.047799999999999995,-0.0
